model,data_version,conv_out_size,kernel_size,hidden_size,n_LSTM,dropout,criterion,lr,train_loss,test_loss,n_params,MAE,MSE,RMSE,R-squared
0,base,10,5,32,2,0,l1_loss,0.1,0.41304200887680054,1.2941737174987793,14525,1.3162583,1.7704122,1.3305684,-44.98506546020508
1,base,10,10,32,2,0,l1_loss,0.1,0.41447049379348755,1.3314766883850098,14775,1.322151,1.7866853,1.3366694,-45.40571212768555
2,base,10,5,64,2,0,l1_loss,0.1,0.41420823335647583,1.292168140411377,53341,1.3213727,1.784394,1.3358121,-45.34844970703125
3,base,10,10,64,2,0,l1_loss,0.1,0.4140596389770508,1.2983205318450928,53591,1.3218075,1.7856977,1.3363,-45.38212203979492
4,base,10,5,32,2,0,mse_loss,0.1,0.007674077060073614,0.10903052985668182,14525,0.40617815,0.21722755,0.46607676,-4.641924858093262
5,base,10,10,32,2,0,mse_loss,0.1,0.06314142793416977,0.16919708251953125,14775,0.6718067,0.50526506,0.71081996,-12.122125625610352
6,base,10,5,64,2,0,mse_loss,0.1,0.23766054213047028,1.0629751682281494,53341,1.1396555,1.3365176,1.1560786,-33.71430587768555
7,base,10,10,64,2,0,mse_loss,0.1,0.2395733892917633,1.1620970964431763,53591,1.1446985,1.3481264,1.1610885,-34.01694869995117
8,feat_engg,30,5,32,2,0,l1_loss,0.1,0.02443687617778778,0.5163134336471558,19145,0.473229,0.25750905,0.5074535,-5.840270042419434
9,feat_engg,30,10,32,2,0,l1_loss,0.1,0.018727151677012444,0.49136024713516235,21395,0.47121176,0.26582128,0.51557857,-6.060603141784668
10,feat_engg,30,5,64,2,0,l1_loss,0.1,0.401866614818573,1.1709680557250977,60521,1.2656056,1.6395868,1.2804635,-42.55704879760742
11,feat_engg,30,10,64,2,0,l1_loss,0.1,0.37893715500831604,1.197699785232544,62771,1.2839358,1.6913643,1.3005246,-43.931854248046875
12,feat_engg,30,5,32,2,0,mse_loss,0.1,0.0013848037924617529,0.23643885552883148,19145,0.42396054,0.21304981,0.46157318,-4.659493446350098
13,feat_engg,30,10,32,2,0,mse_loss,0.1,0.001091397600248456,0.18911300599575043,21395,0.4387086,0.28541267,0.53424025,-6.580867767333984
14,feat_engg,30,5,64,2,0,mse_loss,0.1,0.0008503435528837144,0.11254428327083588,60521,0.50980014,0.3014721,0.54906476,-7.0082807540893555
15,feat_engg,30,10,64,2,0,mse_loss,0.1,0.0007218630635179579,0.6983950138092041,62771,0.50559336,0.30581868,0.55300874,-7.124821662902832
