model,data_version,n_feat,nhead,d_model,num_layers,dropout,criterion,init_lr,final_lr,train_loss,test_loss,n_params,MAE,MSE,RMSE,R-squared
0,feat_engg,15,2,64,2,0.0,mse_loss,0.1,0.0125,0.00164,0.11644,563653,0.28859,0.11591,0.34046,-2.07985
1,feat_engg,15,4,64,2,0.0,mse_loss,0.1,0.0125,0.00173,0.1028,563653,0.26622,0.10309,0.32108,-1.73919
2,feat_engg,15,2,64,2,0.05,mse_loss,0.1,1e-05,0.0057,0.11783,563653,0.32473,0.13454,0.3668,-2.57472
3,feat_engg,15,4,64,2,0.05,mse_loss,0.1,1e-05,0.00599,0.11457,563653,0.32409,0.13241,0.36389,-2.5182
4,base,5,4,64,2,0.0,mse_loss,0.1,0.00625,0.01423,0.16538,563013,0.36514,0.16366,0.40455,-3.2518
5,base,5,2,64,2,0.05,mse_loss,0.1,1e-05,0.01518,0.17498,563013,0.40424,0.19773,0.44467,-4.13583
6,base,5,4,64,2,0.05,mse_loss,0.1,1e-05,0.01711,0.17943,563013,0.40936,0.20224,0.44971,-4.25293
7,feat_engg,15,2,64,2,0.0,l1_loss,0.1,0.00313,0.01895,0.30849,563653,0.30331,0.12305,0.35078,-2.26839
8,base,5,2,64,2,0.0,l1_loss,0.1,0.00156,0.02644,0.25501,563013,0.2519,0.09405,0.30667,-1.44284
9,feat_engg,15,4,64,2,0.0,l1_loss,0.1,0.00039,0.0281,0.33601,563653,0.33103,0.14624,0.38241,-2.88503
10,base,5,4,64,2,0.0,l1_loss,0.1,0.00313,0.02969,0.25846,563013,0.25598,0.0945,0.3074,-1.45407
11,base,5,2,64,4,0.0,l1_loss,0.1,0.00313,0.03278,0.30273,1125317,0.29473,0.12335,0.35121,-2.20306
12,base,5,4,64,4,0.0,l1_loss,0.1,0.00313,0.03371,0.31149,1125317,0.30277,0.12943,0.35976,-2.36131
13,feat_engg,15,4,64,4,0.0,l1_loss,0.1,0.00078,0.03541,0.3241,1125957,0.31723,0.13426,0.36641,-2.56635
14,feat_engg,15,2,64,4,0.0,l1_loss,0.1,0.00078,0.03717,0.32254,1125957,0.31783,0.13188,0.36315,-2.50355
15,feat_engg,15,2,64,2,0.05,l1_loss,0.1,1e-05,0.04338,0.35612,563653,0.36891,0.17565,0.41911,-3.66603
16,feat_engg,15,4,64,2,0.05,l1_loss,0.1,1e-05,0.04341,0.31873,563653,0.33507,0.14503,0.38083,-2.85267
17,feat_engg,15,2,64,4,0.05,l1_loss,0.1,1e-05,0.05445,0.31317,1125957,0.32972,0.14271,0.37777,-2.79223
18,feat_engg,15,4,64,4,0.05,l1_loss,0.1,1e-05,0.05916,0.3628,1125957,0.37635,0.18006,0.42434,-3.78311
19,base,5,2,64,4,0.05,l1_loss,0.1,1e-05,0.06812,0.3336,1125317,0.3479,0.15791,0.39738,-3.10077
20,base,5,4,64,4,0.05,l1_loss,0.1,1e-05,0.06916,0.33223,1125317,0.34718,0.15597,0.39493,-3.05046
21,base,5,4,64,2,0.05,l1_loss,0.1,1e-05,0.06971,0.31006,563013,0.34257,0.14909,0.38612,-2.87238
22,base,5,2,64,2,0.05,l1_loss,0.1,1e-05,0.07745,0.31566,563013,0.34701,0.15005,0.38737,-2.89726
23,base,5,2,64,2,0.0,mse_loss,0.1,0.0002,0.15042,0.9365,563013,0.94304,0.92629,0.96244,-23.05601
24,feat_engg,15,2,64,4,0.05,mse_loss,0.1,1e-05,0.20844,1.12594,1125957,1.0368,1.1128,1.05489,-28.5708
25,feat_engg,15,4,64,4,0.05,mse_loss,0.1,1e-05,0.22141,1.19244,1125957,1.06736,1.17666,1.08474,-30.26392
26,feat_engg,15,4,64,4,0.0,mse_loss,0.1,1e-05,0.2422,1.31503,1125957,1.12317,1.29901,1.13974,-33.50938
27,feat_engg,15,2,64,4,0.0,mse_loss,0.1,1e-05,0.2425,1.31645,1125957,1.12377,1.30037,1.14034,-33.54539
28,base,5,2,64,4,0.0,mse_loss,0.1,1e-05,0.24305,1.38195,1125317,1.15199,1.36559,1.16858,-34.46993
29,base,5,4,64,4,0.0,mse_loss,0.1,1e-05,0.24306,1.38154,1125317,1.15182,1.36518,1.16841,-34.45932
30,base,5,2,64,4,0.05,mse_loss,0.1,1e-05,0.24321,1.36638,1125317,1.15088,1.365,1.16833,-34.45527
31,base,5,4,64,4,0.05,mse_loss,0.1,1e-05,0.24427,1.36624,1125317,1.15179,1.36723,1.16928,-34.51238
